pBrakeF1,rThrottlePedal,vCar
0.1,100,200.8
0.1,100,201
0.1,100,201.2
0.1,100,201.5
0.1,100,201.7
0.1,100,201.9
0.1,100,202.1
0.1,100,202.4
0.1,100,202.6
0.1,100,202.8
0.1,100,203
0.1,100,203.3
0.1,100,203.5
0.1,100,203.7
0.1,100,203.9
0.1,100,204.2
0.1,100,204.4
0.1,100,204.6
0.1,100,204.8
0.1,100,205
0.1,100,205.3
0.1,100,205.5
0.1,100,205.7
0.1,100,205.9
0.1,100,206.1
0.1,100,206.4
0.1,100,206.6
0.1,100,206.8
0.1,100,207
0.1,100,207.2
0.1,100,207.4
0.1,100,207.6
0.1,100,207.8
0.1,100,208
0.1,100,208.2
0.1,100,208.4
0.1,100,208.6
0.1,100,208.8
0.1,100,209
0.1,100,209.2
0.1,100,209.4
0.1,100,209.6
0.1,100,209.8
0.1,100,210
0.1,100,210.2
0.1,100,210.4
0.1,100,210.6
0.1,100,210.8
0.1,100,211
0.1,100,211.1
0.1,100,211.3
0.1,100,211.5
0.1,100,211.7
0.1,100,211.9
0.1,100,212.1
0.1,100,212.3
0.1,100,212.5
0.1,100,212.7
0.1,100,212.9
0.1,100,213
0.1,100,213.2
0.1,100,213.4
0.1,100,213.6
0.1,100,213.8
0.1,100,214
0.1,100,214.2
0.1,100,214.4
0.1,100,214.6
0.1,100,214.8
0.1,100,215
0.1,100,215.2
0.1,100,215.4
0.1,100,215.6
0.1,100,215.8
0.1,100,215.9
0.1,100,216.1
0.1,100,216.3
0.1,100,216.5
0.1,100,216.7
0.1,100,216.9
0.1,100,217.1
0.1,100,217.3
0.1,100,217.5
0.1,100,217.7
0.1,100,217.9
0.1,100,218.1
0.1,100,218.3
0.1,100,218.5
0.1,100,218.6
0.1,100,218.8
0.1,100,219
0.1,100,219.2
0.1,100,219.4
0.1,100,219.6
0.1,100,219.7
0.1,100,219.9
0.1,100,220.1
0.1,100,220.3
0.1,100,220.5
0.1,100,220.7
0.1,100,220.8
0.1,100,221
0.1,100,221.2
0.1,100,221.4
0.1,100,221.5
0.1,100,221.7
0.1,100,221.9
0.1,100,222
0.1,100,222.2
0.1,100,222.4
0.1,100,222.6
0.1,100,222.7
0.1,100,222.9
0.1,100,223.1
0.1,100,223.2
0.1,100,223.4
0.1,100,223.6
0.1,100,223.7
0.1,100,223.9
0.1,100,224.1
0.1,100,224.2
0.1,100,224.4
0.1,100,224.6
0.1,100,224.7
0.1,100,224.9
0.1,100,225
0.1,100,225.2
0.1,100,225.4
0.1,100,225.5
0.1,100,225.7
0.1,100,225.9
0.1,100,226
0.1,100,226.2
0.1,100,226.3
0.1,100,226.5
0.1,100,226.7
0.1,100,226.8
0.1,100,227
0.1,100,227.1
0.1,99.9,227.3
0.1,100,227.4
0.1,100,227.6
0.1,100,227.8
0.1,100,227.9
0.1,100,228.1
0.1,100,228.2
0.1,100,228.4
0.1,100,228.5
0.1,99.9,228.7
0.1,100,228.8
0.1,100,229
0.1,100,229.1
0.1,100,229.3
0.1,100,229.4
0.1,100,229.6
0.1,100,229.7
0.1,100,229.9
0.1,100,230
0.1,99.9,230.2
0.1,100,230.3
0.1,100,230.5
0.1,100,230.6
0.1,100,230.7
0.1,100,230.9
0.1,100,231
0.1,100,231.2
0.1,100,231.3
0.1,99.9,231.4
0.1,99.9,231.6
0.1,100,231.7
0.1,100,231.8
0.1,100,232
0.1,100,232.1
0.1,100,232.3
0.1,100,232.4
0.1,100,232.5
0.1,100,232.6
0.1,99.9,232.8
0.1,99.9,232.9
0.1,100,233
0.1,100,233.2
0.1,100,233.3
0.1,100,233.4
0.1,100,233.5
0.1,100,233.7
0.1,100,233.8
0.1,99.9,233.9
0.1,99.9,234
0.1,99.9,234.1
0.1,100,234.3
0.1,100,234.4
0.1,100,234.5
0.1,100,234.6
0.1,100,234.7
0.1,100,234.8
0.1,100,235
0.1,99.9,235.1
0.1,99.9,235.2
0.1,99.9,235.3
0.1,100,235.4
0.1,100,235.5
0.1,100,235.6
0.1,100,235.7
0.1,100,235.8
0.1,100,236
0.1,99.9,236.1
0.1,99.9,236.2
0.1,99.9,236.3
0.1,99.9,236.4
0.1,100,236.5
0.1,100,236.6
0.1,100,236.7
0.1,100,236.8
0.1,100,236.9
0.1,100,237
0.1,99.9,237.1
0.1,99.9,237.2
0.1,99.9,237.3
0.1,99.9,237.4
0.1,99.9,237.5
0.1,99.8,237.6
0.1,99.6,237.7
0.1,99.4,237.7
0.1,99.3,237.8
0.1,99.1,237.9
0.1,98.6,238
0.1,98.2,238.1
0.1,97.7,238.2
0.1,97.2,238.3
0.1,96.6,238.3
0.1,95.9,238.4
0.1,95.1,238.5
0.1,94.4,238.5
0.1,93.6,238.6
0.1,92.8,238.7
0.1,91.1,238.7
0.1,89.4,238.7
0.1,87.7,238.8
0.1,85.5,238.8
0.1,82.9,238.8
0.1,79.2,238.7
0.1,75.5,238.7
0.1,71.7,238.6
0.1,68,238.6
0.1,63.9,238.5
0.1,59.1,238.3
0.1,54.4,238.2
0.1,49.6,238
0.1,44.5,237.8
0.1,39.4,237.6
0.2,34.3,237.3
0.2,29.3,237
0.2,24.2,236.7
0.3,19.3,236.3
0.4,14.8,235.9
0.6,10.3,235.5
0.9,5.9,235
2.2,2.4,234.5
6.2,1.5,233.7
10.5,1.1,233
14.9,0.7,232.2
19.3,0.3,231.4
24.3,0.2,230.4
29.4,0.2,229.3
34.4,0.1,228.1
40.6,0.1,227
46.1,0.1,225
51.1,0.1,222.7
56.1,0.1,220.4
61.2,0.1,218.1
63.8,0.1,215.3
65.8,0.1,212.5
67.8,0.1,209.6
67.7,0.1,206.8
65.9,0.1,204.1
63.4,0.1,201.5
60.9,0.1,198.9
58.3,0.1,196.3
55.9,0.1,193.8
53.5,0.1,191.5
51.1,0.1,189.1
48.8,0.1,186.9
46.7,0.1,184.8
44.8,0.1,182.8
42.9,0.1,180.8
41,0.1,178.8
39.2,0.1,176.8
37.8,0.1,175.1
36.3,0.1,173.3
34.8,0.1,171.5
33.4,0.1,169.9
32.1,0.1,168.4
30.8,0.1,166.9
29.5,0.1,165.3
28.2,0.1,163.8
27,0.2,162.4
25.9,0.2,161.1
24.8,0.2,159.8
23.7,0.2,158.5
22.8,0.2,157.2
21.9,0.2,156.1
21,0.2,155
20.1,0.2,153.8
19.3,0.2,152.7
18.5,0.2,151.6
17.7,0.2,150.6
17,0.2,149.6
16.2,0.2,148.6
15.6,0.3,147.7
15,0.3,146.8
14.4,0.3,146
13.8,0.3,145.1
13.2,0.3,144.2
12.7,0.3,143.4
12.2,0.3,142.6
11.7,0.3,141.8
11.3,0.3,141
11.1,0.3,140.3
11,0.3,139.5
11,0.4,138.8
10.9,0.4,138.1
10.8,0.4,137.3
10.4,0.4,136.6
9.7,0.4,135.9
9.1,0.5,135.3
8.3,0.5,134.6
7.4,0.6,134
7.7,0.6,133.4
8,0.5,132.8
8.3,0.5,132.2
8.6,0.5,131.6
8.6,0.5,131.1
8.4,0.5,130.6
8.2,0.5,130
7.5,0.6,129.5
5.9,0.8,129
4.7,1.5,128.6
3.7,2.4,128.2
2.6,3.3,127.8
1.5,4.1,127.5
0.9,5.1,127.1
0.8,6.3,126.9
0.6,7.5,126.6
0.5,8.5,126.4
0.5,9.3,126.2
0.5,9.7,126
0.4,9.9,125.8
0.4,10.1,125.6
0.4,10.4,125.4
0.4,10.5,125.2
0.4,10.3,125
0.4,10.2,124.8
0.4,10,124.6
0.4,9.8,124.4
0.5,9.7,124.2
0.5,9.5,123.9
0.5,9.3,123.7
0.5,9.1,123.5
0.5,9,123.3
0.5,8.9,123.1
0.5,8.7,122.9
0.5,8.6,122.6
0.5,8.5,122.4
0.5,8.4,122.2
0.5,8.3,122
0.5,8.2,121.7
0.5,8.1,121.5
0.6,8,121.3
0.6,7.8,121.1
0.6,7.6,120.9
0.6,7.4,120.6
0.6,7.4,120.4
0.6,7.5,120.2
0.6,7.6,119.9
0.6,7.8,119.7
0.5,8.2,119.5
0.5,9.3,119.3
0.4,10.4,119.1
0.4,11.7,118.9
0.3,13.6,118.7
0.3,15.4,118.6
0.3,17.3,118.6
0.2,19.1,118.5
0.2,20.9,118.4
0.2,22.3,118.4
0.2,23.5,118.4
0.2,24.7,118.4
0.2,25.8,118.4
0.2,26.6,118.4
0.2,27.1,118.4
0.2,27.7,118.5
0.2,28.2,118.6
0.2,28.7,118.6
0.2,29,118.7
